Tabelle 1;;;;;;;;;;;;;;;;;;;;;;;
Alkohol\probleme;Sirup;Likör;Zucker;Limetten;Sahne;Zitronenscheibe/schale;Salz;Honig;Olive;Heiß;Geschüttelt;Eis;Stößeln;Ei;Muskatnuss;Pfeffer;Minze;Cocktailkirsche;Perlzwiebeln;Orangenscheibe/schale;Pumpen;Erdbeere/Wassermelone/ananas;Zimtstange
April Shower;;;;;;;;;;;;X;;;;;;;;;4;;
Angel‘s face;;X;;;;;;;;;X;X;;;;;;;;;3;;
Arranco;;X;;;;;;;;;X;X;;;;;;;;;4;X;
Atlas;;;;;;;;;;;;X;;;;;;;;X;5;;
Bermuda;X;X;;;;;;;;;X;X;;;;;;;;;4;;
Brandy Alexander;;X;;;X;;;;;;X;X;;;X;;;;;;3;;
B&B;;;;;;;;;;;;X;;;;;;;;;2;;
Big Ben;X;;;x;;;;;;;X;X;;;;;;x;;;4;;
Blue lady;;X;;;;;;;;;X;X;;;;;;X;;;3;;
Blue moon;;X;;;;;;;;;X;X;;;;;;;;;5;;
Blue margarita;;X;;;;;X;;;;X;X;;;;;;;;;3;;
Brazilian macho;;;;X;;;;;;;;X;X;;;;;;;;2;;
Brandy flip;X;;;;;;;;;;X;X;;X;X;;;;;;2;;
Brandy sour;X;;;;;x;;;;;X;X;;;;;;;;;4;;
Batida de Mel;X;;;X;;;;X;;;;X;X;;;;;;;;3 oder 2;;
Bologna;;;;;;;;;;;;X;;;;;;;;;3;;
Brandy Cocktail;X;X;;;;X;;;;;X;X;;;;;;;;;4;;
Butterfly flip;;X;;;X;;;;;;X;X;;X;X;;;;;;3 oder 4;;
Bloody mary;;;;;;;X;;;;X;X;;;;X;;;;;5;;
Brandy julep;;;X;;;;;;;;;;X;;;;X;X;;;3;;
Black mint;;X;;;;;;;;X;;;;;;;;;;;4;;
Café flambé;;;x;x;;;;;;x;;;;;;;;;;;2;;X
Carneval;;x;;;;;;;;;x;x;;;;;;X;;;6;;
Caipirinha;;;x;x;;;;;;;;x;x;;;;;;;;1 oder 2;;
Café cobbler;;;x;;;;;;;;;;;;;;;;;;2;;
Cococabana;;x;;;;;;;;;x;X;;;;;;;;;3;x;
Cuba Libre;;;;x;;;;;;;;x;;;;;;;;;2;;
Ceylon;;x;;;;;;x;;x;;;;;;;;;;;4 oder 5;;
Chambord Wodka Soda;;;;;;x;;;;;x;x;;;;;;;;;3;;
Cosmopolitan;;x;;x;;;;;;;x;x;;;;;;;;;4;;
Daiquiri;x;;;;;;;;;;x;x;;;;;;;;;;;
El Diablo;;X;;X;;;;;;;;x;x;;;;;;;;;;
Florida Sling;x;x;;;;;;;;;x;x;;;;;;;;;;;
Francesca Crusta;;x;;;;;;;;;x;X;;;;;;;;;;;
Gulfstream;;x;;;;;;;;;x;x;;;;;;;;;;;
Gin Fizz;X;;;;;;;;;;x;X;;;;;;;;;;;
Gimlet;x;;;x;;;;;;;;x;;;;;;;;;;;
Gin and Sin;x;;;;;;;;;;x;x;;;;;;;;;;;
Gin Tonic;;;;;;X;;;;;;;;;;;;;;;;;
Gin Sour;x;;;;;x;;;;;x;x;;;;;;;;;;;
Golden Girl;;x;;;;;;;;;x;X;;;;;;x;;;;;
Golden Gaze;;x;;;;;;;;;x;x;;;;;;;;;;;
Gibson;;;;;;;;;;;;X;;;;;;;x;;;;
Gipsy;;;;;;;;;;;;x;;;;;;;;;;;
Harvey Wallbanger;;;;;;;;;;;;x;;;;;;;;x;;;
Honey Girl;;;;;x;;;x;;;x;X;;;;;;;;;;;
Hurricane;x;;;;;;;;;;x;x;;;;;;x;;;;;
Hot Toddy;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Irish Coffee;;;;;;;;;;;;;;;;;;;;;;;
Juliet;;;;;;;;;;;;;;;;;;;;;;;
Kilimanjaro;;;;;;;;;;;;;;;;;;;;;;;
Knickerbocker;;;;;;;;;;;;;;;;;;;;;;;
Lime Royale;;;;;;;;;;;;;;;;;;;;;;;
L’ananas;;;;;;;;;;;;;;;;;;;;;;;
Martini Cocktail;;;;;;;;;;;;;;;;;;;;;;;
Margarita;;;;;;;;;;;;;;;;;;;;;;;
Mexican Sunset;;;;;;;;;;;;;;;;;;;;;;;
Mai Tai;;;;;;;;;;;;;;;;;;;;;;;
Mojito;;;;;;;;;;;;;;;;;;;;;;;
Mint Julep (mit Cognac);;;;;;;;;;;;;;;;;;;;;;;
Mint Julep (mit Whiskey);;;;;;;;;;;;;;;;;;;;;;;
Milk Punch;;;;;;;;;;;;;;;;;;;;;;;
Moscow Mule;;;;;;;;;;;;;;;;;;;;;;;
Manhattan;;;;;;;;;;;;;;;;;;;;;;;
Mary Pickford;;;;;;;;;;;;;;;;;;;;;;;
Numero Uno;;;;;;;;;;;;;;;;;;;;;;;
Negroni;;;;;;;;;;;;;;;;;;;;;;;
Old Fashioned;;;;;;;;;;;;;;;;;;;;;;;
Orange Punch;;;;;;;;;;;;;;;;;;;;;;;
Paradise;;;;;;;;;;;;;;;;;;;;;;;
Pink Flamingo;;;;;;;;;;;;;;;;;;;;;;;
Pink Rose Fizz;;;;;;;;;;;;;;;;;;;;;;;
Pink Colada;;;;;;;;;;;;;;;;;;;;;;;
Pink Pussycat;;;;;;;;;;;;;;;;;;;;;;;
Piña Colada;;;;;;;;;;;;;;;;;;;;;;;
Planters Punch;;;;;;;;;;;;;;;;;;;;;;;
Pisang Garuda;;;;;;;;;;;;;;;;;;;;;;;
Pisang Cooler;;;;;;;;;;;;;;;;;;;;;;;
Rusty Nail;;;;;;;;;;;;;;;;;;;;;;;
Sweet Girl;;;;;;;;;;;;;;;;;;;;;;;
Sweet Heat;;;;;;;;;;;;;;;;;;;;;;;
Steaming Swamp;;;;;;;;;;;;;;;;;;;;;;;
Sex on the Beach;;;;;;;;;;;;;;;;;;;;;;;
Swimming Pool;;;;;;;;;;;;;;;;;;;;;;;
Screw Driver;;;;;;;;;;;;;;;;;;;;;;;
Sifi Flip;;;;;;;;;;;;;;;;;;;;;;;
Sidecar;;;;;;;;;;;;;;;;;;;;;;;
Singapore Sling;;;;;;;;;;;;;;;;;;;;;;;
Silver Jubilee;;;;;;;;;;;;;;;;;;;;;;;
Seven Seas;;;;;;;;;;;;;;;;;;;;;;;
Tia Tropical;;;;;;;;;;;;;;;;;;;;;;;
Tropical Banana;;;;;;;;;;;;;;;;;;;;;;;
Tom Collins;;;;;;;;;;;;;;;;;;;;;;;
Tequila Sour;;;;;;;;;;;;;;;;;;;;;;;
Tequila Sunrise;;;;;;;;;;;;;;;;;;;;;;;
Trinidad Banana;;;;;;;;;;;;;;;;;;;;;;;
Vodka Gimlet;;;;;;;;;;;;;;;;;;;;;;;
White Russian;;;;;;;;;;;;;;;;;;;;;;;
Wodka Espresso;;;;;;;;;;;;;;;;;;;;;;;
White Lady;;;;;;;;;;;;;;;;;;;;;;;
Whisky Sour;;;;;;;;;;;;;;;;;;;;;;;
Whisky Cocktail;;;;;;;;;;;;;;;;;;;;;;;
Whiskey Julep (auch: Mint Julep);;;;;;;;;;;;;;;;;;;;;;;
